Parent Category,Category,Brand,Description,Status
Grocery,Rice,Guard,Guard brand for Grocery > Rice,Active
Grocery,Rice,Falak,Falak brand for Grocery > Rice,Active
Grocery,Rice,Kashmir,Kashmir brand for Grocery > Rice,Active
Grocery,Rice,Lal Qilla,Lal Qilla brand for Grocery > Rice,Active
Grocery,Rice,Shan,Shan brand for Grocery > Rice,Active
Grocery,Rice,Tilda,Tilda brand for Grocery > Rice,Active
Grocery,Rice,Store Brand,Store Brand brand for Grocery > Rice,Active
Grocery,Rice,Local Rice Mill,Local Rice Mill brand for Grocery > Rice,Active
Grocery,Flour & Grains,Sunridge,Sunridge brand for Grocery > Flour & Grains,Active
Grocery,Flour & Grains,Bake Parlor,Bake Parlor brand for Grocery > Flour & Grains,Active
Grocery,Flour & Grains,Nature's Own,Nature's Own brand for Grocery > Flour & Grains,Active
Grocery,Flour & Grains,Store Brand,Store Brand brand for Grocery > Flour & Grains,Active
Grocery,Flour & Grains,Local Mill,Local Mill brand for Grocery > Flour & Grains,Active
Grocery,Pulses,Store Brand,Store Brand brand for Grocery > Pulses,Active
Grocery,Pulses,Local Mill,Local Mill brand for Grocery > Pulses,Active
Grocery,Pulses,Punjab Daal,Punjab Daal brand for Grocery > Pulses,Active
Grocery,Pulses,Metro Chef,Metro Chef brand for Grocery > Pulses,Active
Grocery,Pulses,Organic Village,Organic Village brand for Grocery > Pulses,Active
Grocery,Sugar & Sweeteners,Store Brand,Store Brand brand for Grocery > Sugar & Sweeteners,Active
Grocery,Sugar & Sweeteners,Local Mill,Local Mill brand for Grocery > Sugar & Sweeteners,Active
Grocery,Sugar & Sweeteners,Sugarland,Sugarland brand for Grocery > Sugar & Sweeteners,Active
Grocery,Sugar & Sweeteners,Equal,Equal brand for Grocery > Sugar & Sweeteners,Active
Grocery,Sugar & Sweeteners,Canderel,Canderel brand for Grocery > Sugar & Sweeteners,Active
Grocery,Salt,National,National brand for Grocery > Salt,Active
Grocery,Salt,Shan,Shan brand for Grocery > Salt,Active
Grocery,Salt,Himalayan Chef,Himalayan Chef brand for Grocery > Salt,Active
Grocery,Salt,Store Brand,Store Brand brand for Grocery > Salt,Active
Grocery,Salt,Local Brand,Local Brand brand for Grocery > Salt,Active
Grocery,Spices,National,National brand for Grocery > Spices,Active
Grocery,Spices,Shan,Shan brand for Grocery > Spices,Active
Grocery,Spices,Mehran,Mehran brand for Grocery > Spices,Active
Grocery,Spices,Laziza,Laziza brand for Grocery > Spices,Active
Grocery,Spices,Chef's Pride,Chef's Pride brand for Grocery > Spices,Active
Grocery,Spices,Store Brand,Store Brand brand for Grocery > Spices,Active
Grocery,Recipe Mixes & Masalas,National,National brand for Grocery > Recipe Mixes & Masalas,Active
Grocery,Recipe Mixes & Masalas,Shan,Shan brand for Grocery > Recipe Mixes & Masalas,Active
Grocery,Recipe Mixes & Masalas,Mehran,Mehran brand for Grocery > Recipe Mixes & Masalas,Active
Grocery,Recipe Mixes & Masalas,Laziza,Laziza brand for Grocery > Recipe Mixes & Masalas,Active
Grocery,Recipe Mixes & Masalas,Ahmed Foods,Ahmed Foods brand for Grocery > Recipe Mixes & Masalas,Active
Grocery,Cooking Oil,Dalda,Dalda brand for Grocery > Cooking Oil,Active
Grocery,Cooking Oil,Mezan,Mezan brand for Grocery > Cooking Oil,Active
Grocery,Cooking Oil,Sufi,Sufi brand for Grocery > Cooking Oil,Active
Grocery,Cooking Oil,Habib,Habib brand for Grocery > Cooking Oil,Active
Grocery,Cooking Oil,Eva,Eva brand for Grocery > Cooking Oil,Active
Grocery,Cooking Oil,Kisan,Kisan brand for Grocery > Cooking Oil,Active
Grocery,Cooking Oil,Canolive,Canolive brand for Grocery > Cooking Oil,Active
Grocery,Ghee,Dalda,Dalda brand for Grocery > Ghee,Active
Grocery,Ghee,Mezan,Mezan brand for Grocery > Ghee,Active
Grocery,Ghee,Sufi,Sufi brand for Grocery > Ghee,Active
Grocery,Ghee,Habib,Habib brand for Grocery > Ghee,Active
Grocery,Ghee,Kisan,Kisan brand for Grocery > Ghee,Active
Grocery,Ghee,Tullo,Tullo brand for Grocery > Ghee,Active
Grocery,Dry Fruits & Nuts,Store Brand,Store Brand brand for Grocery > Dry Fruits & Nuts,Active
Grocery,Dry Fruits & Nuts,Local Dry Fruit,Local Dry Fruit brand for Grocery > Dry Fruits & Nuts,Active
Grocery,Dry Fruits & Nuts,Metro Chef,Metro Chef brand for Grocery > Dry Fruits & Nuts,Active
Grocery,Dry Fruits & Nuts,Al-Fatah,Al-Fatah brand for Grocery > Dry Fruits & Nuts,Active
Grocery,Dry Fruits & Nuts,Imported Brand,Imported Brand brand for Grocery > Dry Fruits & Nuts,Active
Grocery,Seeds,Store Brand,Store Brand brand for Grocery > Seeds,Active
Grocery,Seeds,Organic Village,Organic Village brand for Grocery > Seeds,Active
Grocery,Seeds,Nature's Own,Nature's Own brand for Grocery > Seeds,Active
Grocery,Seeds,Imported Brand,Imported Brand brand for Grocery > Seeds,Active
Grocery,Pickles & Chutneys,National,National brand for Grocery > Pickles & Chutneys,Active
Grocery,Pickles & Chutneys,Shan,Shan brand for Grocery > Pickles & Chutneys,Active
Grocery,Pickles & Chutneys,Mitchell's,Mitchell's brand for Grocery > Pickles & Chutneys,Active
Grocery,Pickles & Chutneys,Ahmed Foods,Ahmed Foods brand for Grocery > Pickles & Chutneys,Active
Grocery,Pickles & Chutneys,Mehrans,Mehrans brand for Grocery > Pickles & Chutneys,Active
Grocery,Sauces & Condiments,National,National brand for Grocery > Sauces & Condiments,Active
Grocery,Sauces & Condiments,Shangrila,Shangrila brand for Grocery > Sauces & Condiments,Active
Grocery,Sauces & Condiments,Mitchell's,Mitchell's brand for Grocery > Sauces & Condiments,Active
Grocery,Sauces & Condiments,Knorr,Knorr brand for Grocery > Sauces & Condiments,Active
Grocery,Sauces & Condiments,Young's,Young's brand for Grocery > Sauces & Condiments,Active
Grocery,Sauces & Condiments,Heinz,Heinz brand for Grocery > Sauces & Condiments,Active
Grocery,Baking Ingredients,Bake Parlor,Bake Parlor brand for Grocery > Baking Ingredients,Active
Grocery,Baking Ingredients,Rafhan,Rafhan brand for Grocery > Baking Ingredients,Active
Grocery,Baking Ingredients,Foster Clark's,Foster Clark's brand for Grocery > Baking Ingredients,Active
Grocery,Baking Ingredients,Blue Band,Blue Band brand for Grocery > Baking Ingredients,Active
Grocery,Baking Ingredients,Store Brand,Store Brand brand for Grocery > Baking Ingredients,Active
Grocery,Desserts & Mixes,Rafhan,Rafhan brand for Grocery > Desserts & Mixes,Active
Grocery,Desserts & Mixes,Foster Clark's,Foster Clark's brand for Grocery > Desserts & Mixes,Active
Grocery,Desserts & Mixes,National,National brand for Grocery > Desserts & Mixes,Active
Grocery,Desserts & Mixes,Shan,Shan brand for Grocery > Desserts & Mixes,Active
Grocery,Desserts & Mixes,Laziza,Laziza brand for Grocery > Desserts & Mixes,Active
Grocery,Instant Foods,Knorr,Knorr brand for Grocery > Instant Foods,Active
Grocery,Instant Foods,Maggi,Maggi brand for Grocery > Instant Foods,Active
Grocery,Instant Foods,Kolson,Kolson brand for Grocery > Instant Foods,Active
Grocery,Instant Foods,Bake Parlor,Bake Parlor brand for Grocery > Instant Foods,Active
Grocery,Instant Foods,National,National brand for Grocery > Instant Foods,Active
Grocery,Canned & Packed Foods,Mitchell's,Mitchell's brand for Grocery > Canned & Packed Foods,Active
Grocery,Canned & Packed Foods,Sufi,Sufi brand for Grocery > Canned & Packed Foods,Active
Grocery,Canned & Packed Foods,Young's,Young's brand for Grocery > Canned & Packed Foods,Active
Grocery,Canned & Packed Foods,American Garden,American Garden brand for Grocery > Canned & Packed Foods,Active
Grocery,Canned & Packed Foods,Store Brand,Store Brand brand for Grocery > Canned & Packed Foods,Active
Grocery,Breakfast Foods & Cereals,Nestle,Nestle brand for Grocery > Breakfast Foods & Cereals,Active
Grocery,Breakfast Foods & Cereals,Kellogg's,Kellogg's brand for Grocery > Breakfast Foods & Cereals,Active
Grocery,Breakfast Foods & Cereals,Quaker,Quaker brand for Grocery > Breakfast Foods & Cereals,Active
