Product Name,Product Group SKU,Variant Name,Attribute 1,Option 1,Attribute 2,Option 2,Attribute 3,Option 3,Parent Category,Category,Subcategory,Brand,SKU,Barcode,Description,Customer Unit,Supplier Unit,Customer Units in One Supplier Unit,Purchase Price,Selling Price,Regular Price,Opening Supplier Quantity,Additional Customer-Unit Stock,Low Stock Alert,Status
Guard Basmati Rice,,,,,,,,,Grocery,Rice,Basmati Rice,Guard,RICE-BR-GUAR-001,,Guard Basmati Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14000,320,340,0,0,10,Active
Falak Basmati Rice,,,,,,,,,Grocery,Rice,Basmati Rice,Falak,RICE-BR-FALA-002,,Falak Basmati Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14000,320,340,0,0,10,Active
Kashmir Basmati Rice,,,,,,,,,Grocery,Rice,Basmati Rice,Kashmir,RICE-BR-KASH-003,,Kashmir Basmati Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14000,320,340,0,0,10,Active
Lal Qilla Basmati Rice,,,,,,,,,Grocery,Rice,Basmati Rice,Lal Qilla,RICE-BR-LQ-004,,Lal Qilla Basmati Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14000,320,340,0,0,10,Active
Shan Basmati Rice,,,,,,,,,Grocery,Rice,Basmati Rice,Shan,RICE-BR-SHAN-005,,Shan Basmati Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14000,320,340,0,0,10,Active
Tilda Basmati Rice,,,,,,,,,Grocery,Rice,Basmati Rice,Tilda,RICE-BR-TILD-006,,Tilda Basmati Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14000,320,340,0,0,10,Active
Store Brand Basmati Rice,,,,,,,,,Grocery,Rice,Basmati Rice,Store Brand,RICE-BR-SB-007,,Store Brand Basmati Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14000,320,340,0,0,10,Active
Local Rice Mill Basmati Rice,,,,,,,,,Grocery,Rice,Basmati Rice,Local Rice Mill,RICE-BR-LRM-008,,Local Rice Mill Basmati Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14000,320,340,0,0,10,Active
Guard Sella Rice,,,,,,,,,Grocery,Rice,Sella Rice,Guard,RICE-SR-GUAR-009,,Guard Sella Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,13000,300,320,0,0,10,Active
Falak Sella Rice,,,,,,,,,Grocery,Rice,Sella Rice,Falak,RICE-SR-FALA-010,,Falak Sella Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,13000,300,320,0,0,10,Active
Kashmir Sella Rice,,,,,,,,,Grocery,Rice,Sella Rice,Kashmir,RICE-SR-KASH-011,,Kashmir Sella Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,13000,300,320,0,0,10,Active
Lal Qilla Sella Rice,,,,,,,,,Grocery,Rice,Sella Rice,Lal Qilla,RICE-SR-LQ-012,,Lal Qilla Sella Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,13000,300,320,0,0,10,Active
Store Brand Sella Rice,,,,,,,,,Grocery,Rice,Sella Rice,Store Brand,RICE-SR-SB-013,,Store Brand Sella Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,13000,300,320,0,0,10,Active
Local Rice Mill Sella Rice,,,,,,,,,Grocery,Rice,Sella Rice,Local Rice Mill,RICE-SR-LRM-014,,Local Rice Mill Sella Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,13000,300,320,0,0,10,Active
Guard Steam Rice,,,,,,,,,Grocery,Rice,Steam Rice,Guard,RICE-SR-GUAR-015,,Guard Steam Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,12500,290,310,0,0,10,Active
Falak Steam Rice,,,,,,,,,Grocery,Rice,Steam Rice,Falak,RICE-SR-FALA-016,,Falak Steam Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,12500,290,310,0,0,10,Active
Kashmir Steam Rice,,,,,,,,,Grocery,Rice,Steam Rice,Kashmir,RICE-SR-KASH-017,,Kashmir Steam Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,12500,290,310,0,0,10,Active
Store Brand Steam Rice,,,,,,,,,Grocery,Rice,Steam Rice,Store Brand,RICE-SR-SB-018,,Store Brand Steam Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,12500,290,310,0,0,10,Active
Local Rice Mill Steam Rice,,,,,,,,,Grocery,Rice,Steam Rice,Local Rice Mill,RICE-SR-LRM-019,,Local Rice Mill Steam Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,12500,290,310,0,0,10,Active
Guard Brown Rice,,,,,,,,,Grocery,Rice,Brown Rice,Guard,RICE-BR-GUAR-020,,Guard Brown Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,16000,380,400,0,0,10,Active
Falak Brown Rice,,,,,,,,,Grocery,Rice,Brown Rice,Falak,RICE-BR-FALA-021,,Falak Brown Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,16000,380,400,0,0,10,Active
Tilda Brown Rice,,,,,,,,,Grocery,Rice,Brown Rice,Tilda,RICE-BR-TILD-022,,Tilda Brown Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,16000,380,400,0,0,10,Active
Store Brand Brown Rice,,,,,,,,,Grocery,Rice,Brown Rice,Store Brand,RICE-BR-SB-023,,Store Brand Brown Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,16000,380,400,0,0,10,Active
Store Brand Broken Rice,,,,,,,,,Grocery,Rice,Broken Rice,Store Brand,RICE-BR-SB-024,,Store Brand Broken Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,9000,210,230,0,0,10,Active
Local Rice Mill Broken Rice,,,,,,,,,Grocery,Rice,Broken Rice,Local Rice Mill,RICE-BR-LRM-025,,Local Rice Mill Broken Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,9000,210,230,0,0,10,Active
Store Brand Local Rice,,,,,,,,,Grocery,Rice,Local Rice,Store Brand,RICE-LR-SB-026,,Store Brand Local Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,10500,240,260,0,0,10,Active
Local Rice Mill Local Rice,,,,,,,,,Grocery,Rice,Local Rice,Local Rice Mill,RICE-LR-LRM-027,,Local Rice Mill Local Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,10500,240,260,0,0,10,Active
Tilda Imported Rice,,,,,,,,,Grocery,Rice,Imported Rice,Tilda,RICE-IR-TILD-028,,Tilda Imported Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,18000,430,460,0,0,10,Active
Lal Qilla Imported Rice,,,,,,,,,Grocery,Rice,Imported Rice,Lal Qilla,RICE-IR-LQ-029,,Lal Qilla Imported Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,18000,430,460,0,0,10,Active
Store Brand Imported Rice,,,,,,,,,Grocery,Rice,Imported Rice,Store Brand,RICE-IR-SB-030,,Store Brand Imported Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,18000,430,460,0,0,10,Active
Guard Super Kernel Rice,,,,,,,,,Grocery,Rice,Super Kernel Rice,Guard,RICE-SKR-GUAR-031,,Guard Super Kernel Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,15500,360,390,0,0,10,Active
Falak Super Kernel Rice,,,,,,,,,Grocery,Rice,Super Kernel Rice,Falak,RICE-SKR-FALA-032,,Falak Super Kernel Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,15500,360,390,0,0,10,Active
Kashmir Super Kernel Rice,,,,,,,,,Grocery,Rice,Super Kernel Rice,Kashmir,RICE-SKR-KASH-033,,Kashmir Super Kernel Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,15500,360,390,0,0,10,Active
Lal Qilla Super Kernel Rice,,,,,,,,,Grocery,Rice,Super Kernel Rice,Lal Qilla,RICE-SKR-LQ-034,,Lal Qilla Super Kernel Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,15500,360,390,0,0,10,Active
Store Brand Super Kernel Rice,,,,,,,,,Grocery,Rice,Super Kernel Rice,Store Brand,RICE-SKR-SB-035,,Store Brand Super Kernel Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,15500,360,390,0,0,10,Active
Local Rice Mill Super Kernel Rice,,,,,,,,,Grocery,Rice,Super Kernel Rice,Local Rice Mill,RICE-SKR-LRM-036,,Local Rice Mill Super Kernel Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,15500,360,390,0,0,10,Active
Guard Kainat Rice,,,,,,,,,Grocery,Rice,Kainat Rice,Guard,RICE-KR-GUAR-037,,Guard Kainat Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14500,335,360,0,0,10,Active
Falak Kainat Rice,,,,,,,,,Grocery,Rice,Kainat Rice,Falak,RICE-KR-FALA-038,,Falak Kainat Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14500,335,360,0,0,10,Active
Kashmir Kainat Rice,,,,,,,,,Grocery,Rice,Kainat Rice,Kashmir,RICE-KR-KASH-039,,Kashmir Kainat Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14500,335,360,0,0,10,Active
Store Brand Kainat Rice,,,,,,,,,Grocery,Rice,Kainat Rice,Store Brand,RICE-KR-SB-040,,Store Brand Kainat Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14500,335,360,0,0,10,Active
Local Rice Mill Kainat Rice,,,,,,,,,Grocery,Rice,Kainat Rice,Local Rice Mill,RICE-KR-LRM-041,,Local Rice Mill Kainat Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,14500,335,360,0,0,10,Active
Tilda Jasmine Rice,,,,,,,,,Grocery,Rice,Jasmine Rice,Tilda,RICE-JR-TILD-042,,Tilda Jasmine Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,19000,450,480,0,0,10,Active
Store Brand Jasmine Rice,,,,,,,,,Grocery,Rice,Jasmine Rice,Store Brand,RICE-JR-SB-043,,Store Brand Jasmine Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,19000,450,480,0,0,10,Active
Store Brand IRRI Rice,,,,,,,,,Grocery,Rice,IRRI Rice,Store Brand,RICE-IR-SB-044,,Store Brand IRRI Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,9500,220,240,0,0,10,Active
Local Rice Mill IRRI Rice,,,,,,,,,Grocery,Rice,IRRI Rice,Local Rice Mill,RICE-IR-LRM-045,,Local Rice Mill IRRI Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,9500,220,240,0,0,10,Active
Guard Long Grain Rice,,,,,,,,,Grocery,Rice,Long Grain Rice,Guard,RICE-LGR-GUAR-046,,Guard Long Grain Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,12500,290,310,0,0,10,Active
Falak Long Grain Rice,,,,,,,,,Grocery,Rice,Long Grain Rice,Falak,RICE-LGR-FALA-047,,Falak Long Grain Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,12500,290,310,0,0,10,Active
Tilda Long Grain Rice,,,,,,,,,Grocery,Rice,Long Grain Rice,Tilda,RICE-LGR-TILD-048,,Tilda Long Grain Rice for Zephrant ERP grocery catalog. Simple product; stock and sales are managed in KG.,KG,Bag,50,12500,290,310,0,0,10,Active
