Product Name,Product Group SKU,Variant Name,Attribute 1,Option 1,Attribute 2,Option 2,Attribute 3,Option 3,Parent Category,Category,Subcategory,Brand,SKU,Barcode,Description,Customer Unit,Supplier Unit,Customer Units in One Supplier Unit,Purchase Price,Selling Price,Regular Price,Opening Supplier Quantity,Additional Customer-Unit Stock,Low Stock Alert,Status
Guard Basmati Rice,,,,,,,,,Grocery,Rice,Basmati Rice,Guard,GRO-RICE-BR-GUAR-00001,,Guard Basmati Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Basmati Rice,,,,,,,,,Grocery,Rice,Basmati Rice,Falak,GRO-RICE-BR-FALA-00002,,Falak Basmati Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Basmati Rice,,,,,,,,,Grocery,Rice,Basmati Rice,Kashmir,GRO-RICE-BR-KASH-00003,,Kashmir Basmati Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla Basmati Rice,,,,,,,,,Grocery,Rice,Basmati Rice,Lal Qilla,GRO-RICE-BR-LQ-00004,,Lal Qilla Basmati Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard Sella Rice,,,,,,,,,Grocery,Rice,Sella Rice,Guard,GRO-RICE-SR-GUAR-00005,,Guard Sella Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Sella Rice,,,,,,,,,Grocery,Rice,Sella Rice,Falak,GRO-RICE-SR-FALA-00006,,Falak Sella Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Sella Rice,,,,,,,,,Grocery,Rice,Sella Rice,Kashmir,GRO-RICE-SR-KASH-00007,,Kashmir Sella Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Lal Qilla Sella Rice,,,,,,,,,Grocery,Rice,Sella Rice,Lal Qilla,GRO-RICE-SR-LQ-00008,,Lal Qilla Sella Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Guard Steam Rice,,,,,,,,,Grocery,Rice,Steam Rice,Guard,GRO-RICE-SR-GUAR-00009,,Guard Steam Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Falak Steam Rice,,,,,,,,,Grocery,Rice,Steam Rice,Falak,GRO-RICE-SR-FALA-00010,,Falak Steam Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
Kashmir Steam Rice,,,,,,,,,Grocery,Rice,Steam Rice,Kashmir,GRO-RICE-SR-KASH-00011,,Kashmir Steam Rice in Grocery > Rice. Simple product for Zephrant ERP import; one internal Default variant will be created.,KG,Bag,50,12000,280,300,0,0,10,Active
